,,
,さぁ、始めましょう, Let’s get started
,一緒に行きましょう, Let’s get together
,うん、賛成, Yeah I agree
,あなたにできるの？, Can you do it?
,初耳だね, That’s news to me
,私を占って, Please tell me my fortune
,何があったの？, What happened
,それは残念だね, That’s a pitty
,いい考えだね, That’s an idea
,それはおかしいね, That’s funny
,大丈夫よ, That’s OK
,もう充分うんざり, That’s enough
,いつそれをなくしたしたの？, When did you lose it
,警察に届けたらいいんじゃない, Why don’t you report it to the police
,そうだといいんだけど, I hope so
,午後は暇だよ, I’m free in the afternoon
,いいねぇ, That sounds great
,私も行ってもいい, Can I come too?
,これもらっていい, Can I keep this?
,ちょっと言っていい, Can I say something
,お願いがあるんだけど, Can I ask you a favor
,傘を借りてもいい, Can I borrow your umbrella
,時間によるね, Depends on the time
,持ち帰りでお願いします, To go please
,チーズバーガーをください, I’d like a cheeseburger
,パーマをかけて下さい, I’d like a perm
,ワインを一杯ください, I’d like a glass of wine please?
,このクーポン使えますか？, Can I use this coupon
,もう一度言ってもらえますか？, Would you say that again
,手伝ってもらえますか？, Would you help me
,もう少し大きな声で言ってもらえますか, Would you speak up
,ドアを開けてもらえますか？, Could you open the door please
,そうしてください, Would you please
,ちょっと高いんじゃない, Isn’t that a little expensive
,ご親切にありがとう, That’s very kind of you
,心配しなくていいよ, Don’t worry
,大丈夫きっとあなたは合格するわ, I’m sure you’ll pass
,彼はきっと助けてくれるよ, I’m sure he’ll help
,あなたが気に入ってくれるといいんだけど, I’m sure you like it
,大丈夫うまくいくわ, I’m sure things will work out
,追試があるよ, There’s going to be a make up test
,昇進おめでとう, Congratulations on your promotion
,あなたのボーイフレンドから聞いたよ, I heard it from your boyfriend
,新しい上司はどう？, What’s your new boss like
,よかったね, Good for you
,どうして遅れたの？, How come you are late
,なんで彼が来てるの？, How come he’s here
,どうして空は青いの？, How come the sky is blue
,どうして彼女は電話をくれないの？, How come she never called me
,怒ってないよ, I’m not mad
,いいねぇさぁ行こう, Sounds good let’s go
,寒いのは無理もないよ, No wonder you are cold
,疲れるのは無理もないよ, No wonder you are tired
,眠いのは無理ないよ, No wonder you are sleepy
,もう少し洋服を着ればいいんじゃない, Why don’t you wear more clothes
,まだ真冬だよ, It’s still in the middle of winter
,そうじゃないかと思った, I thought so
,乗せてくれてありがとう, Thanks for the ride
,今日のキャンプがとっても楽しみだわ, I am looking forward to today’s camping
,夜にはキャンプファイヤーするの, Are we having a campfire at night
,もし雨が降ったらどうしようよう, What if it rains
,もし誰も来なかったらどうしよう, What if nobody come
,もし失敗したらどうしよ？, What if I fail
,パスワード忘れちゃったらどうしよう, What if if I forget my password
,彼女に彼氏がいたらどうしよう, What if she has a boyfriend
,雨が降らないといいなぁ, I hope it won’t rain
,私に修理させて, Let me fix it
,ちょっと見させて, Let me take a look at it
,お手伝いさせてください, Let me help you
,キャッシーを紹介させて, Let me introduce Kathy
,説明させて, Let me explain
,最後まで話させて, Let me finish
,以前配管工だったんだ, I was once a plumber
,くたくただったから、そのまま寝た。, I was exhausted and just went to bed
,映画どうだった？, How was the movie
,旅行はどうだった？, How was your trip
,どんな感じだった？, How was it
,それどうだった, What did you like about it
,私もいつかそれを見ます, I’ll watch it too someday
,来週には返してね, Give it back to me next week
,もう行く時間だよ, You have to go now
,来てくれてありがと, Thanks for coming
,手伝ってくれてありがとう, Thanks for your help
,いろいろありがとう, Thanks for everything
,そうだと思うよ, I think it true
,あなたが正しいと思います, I think you are right
,彼女は来ると思います, I think she’ll come
,風邪をひいたと思います, I think I’ve caught a cold
,鍵をなくしちゃったと思います。ま, I think I’ve lost my keys
,ずっと前から彼を知っています, I’ve known him for a long time
,彼は大げさに言うようなタイプの人じゃないよ, He’s not the type to exaggerate things
,彼にもう一回尋ねてみます, I will ask him once again
,大体みんな私は父親似だといいます, Usually people say I look like my father
,これが私の家族の写真です, Here’s a picture of my family
,それはあなたへの誕生日プレゼントです, He is a birthday present for you
,これ、あなたに, Here’s a little something for you
,これが私の電話番号です, Here's my phone number
,冗談でしょう, Are you kidding
,それを聞いたら、彼女はきっと喜ぶわ, She will be happy to hear that
,先に使っていいよ, You can use it first
,休憩しない, How about a break
,いっぱいどう？, How about a drink
,ケーキはいかが？, How about some cake
,疲れてきた, I’m getting tired
,今日中に終わらせられると思います, I think I can finish it by today
,あなたに案内してほしいんだけど, I’d like you to show me around
,手伝って欲しいんだけど, I I'd like you to help me
,ここにいて欲しいんだけど, I'd like you to stay here
,海が見えるところを教えてください, Tell me where you can see the Sea
, Hey元気？, Hey how are you doing
,ハワイに住むってどんな感じ？, What's it like living in Hawaii
,新しい彼氏はどんな感じ？, What’s your new boyfriend like
